platform,stance,n,mean_likes,median_likes,mean_replies,median_replies,mean_total_eng,median_total_eng,n_top10pct,pct_top10pct
Instagram,contested,10,44.7,0.5,0.2,0.0,44.8,0.5,3,30.0
Instagram,neutral,10786,11.28,0.0,0.29,0.0,11.51,0.0,1073,9.9
Instagram,resistant,165,1.18,0.0,0.29,0.0,1.36,0.0,19,11.5
Instagram,supportive,688,7.31,0.0,0.22,0.0,7.5,0.0,55,8.0
X,contested,2,3.5,3.5,3.0,3.0,6.5,6.5,0,0.0
X,neutral,694,31.7,1.0,1.1,0.0,32.8,1.0,70,10.1
X,resistant,14,1.93,0.5,0.43,0.0,2.36,0.5,0,0.0
X,supportive,135,21.66,1.0,1.25,0.0,22.91,1.0,15,11.1
YouTube,contested,100,6.89,1.0,0.7,0.0,7.59,1.0,19,19.0
YouTube,neutral,39937,13.63,0.0,0.36,0.0,13.98,0.0,3826,9.6
YouTube,resistant,934,4.81,0.0,0.5,0.0,5.31,1.0,92,9.9
YouTube,supportive,4647,19.65,0.0,0.48,0.0,20.12,1.0,487,10.5
